consumption,pid,address,year,week,weekday,time
30,2,10551200000,2014,46,1,95
10,4,10551200010,2014,46,1,95
30,2,10551200000,2014,46,1,95
50,5,10551200020,2014,46,1,95
10,4,10551200010,2014,46,1,95
20,2,10551200000,2014,46,1,95
1,1,10551200030,2014,46,1,95
50,5,10551200020,2014,46,1,95
1,1,10551200030,2014,46,1,95
20,3,10559200030,2014,46,2,0
30,2,10551200000,2014,46,2,0
10,4,10551200010,2014,46,2,0
30,2,10551200000,2014,46,2,0
50,5,10551200020,2014,46,2,0
10,4,10551200010,2014,46,2,0
20,2,10551200000,2014,46,2,0
1,1,10551200030,2014,46,2,0
50,5,10551200020,2014,46,2,0
1,1,10551200030,2014,46,2,0
